,backend,basis_gate,q1,q2,error
116,ibm_kyiv,ecr,69,70.0,0.01577824960329033
117,ibm_kyiv,ecr,35,47.0,0.01721469039070178
118,ibm_kyiv,ecr,101,102.0,0.016011043777768852
119,ibm_kyiv,ecr,80,79.0,1.0
120,ibm_kyiv,ecr,34,24.0,0.00989858876249955
121,ibm_kyiv,ecr,39,38.0,0.018867127952081286
122,ibm_kyiv,ecr,0,1.0,0.006402053712404265
123,ibm_kyiv,ecr,10,11.0,0.007952401308012502
124,ibm_kyiv,ecr,66,65.0,0.016311120038772386
125,ibm_kyiv,ecr,54,45.0,0.006928645421890034
126,ibm_kyiv,ecr,37,38.0,0.019997278742012292
127,ibm_kyiv,ecr,94,90.0,0.006791634288215831
128,ibm_kyiv,ecr,92,102.0,0.020330842083734202
129,ibm_kyiv,ecr,7,6.0,0.010662817204590058
130,ibm_kyiv,ecr,98,99.0,0.018075455172305577
131,ibm_kyiv,ecr,44,43.0,0.01428387193715508
132,ibm_kyiv,ecr,125,126.0,0.011144821893621204
133,ibm_kyiv,ecr,22,15.0,0.03216797423936185
134,ibm_kyiv,ecr,40,39.0,0.014569443193471865
135,ibm_kyiv,ecr,68,55.0,0.007473507704455651
136,ibm_kyiv,ecr,36,32.0,0.005777405025285898
137,ibm_kyiv,ecr,66,67.0,0.025166734437679528
138,ibm_kyiv,ecr,11,12.0,0.006421835056026726
139,ibm_kyiv,ecr,100,99.0,0.018725645890688536
140,ibm_kyiv,ecr,76,77.0,0.008178848434212793
141,ibm_kyiv,ecr,45,44.0,0.02230062928537002
142,ibm_kyiv,ecr,7,8.0,0.06967834654868865
143,ibm_kyiv,ecr,53,60.0,0.0039614803180077485
144,ibm_kyiv,id,0,,0.0001323951929770011
145,ibm_kyiv,id,1,,0.00019995595793613998
146,ibm_kyiv,id,2,,0.0001319866770732589
147,ibm_kyiv,id,3,,0.00016838775933896173
148,ibm_kyiv,id,4,,0.0005994139227358977
149,ibm_kyiv,id,5,,0.00016534191815511612
150,ibm_kyiv,id,6,,8.300612396370162e-05
151,ibm_kyiv,id,7,,0.00011770843965995591
152,ibm_kyiv,id,8,,0.022998910804154327
153,ibm_kyiv,id,9,,0.0001571408064775315
154,ibm_kyiv,id,10,,0.00016299212348484335
155,ibm_kyiv,id,11,,0.00016935711980506842
156,ibm_kyiv,id,12,,0.00013762637141621073
157,ibm_kyiv,id,13,,0.00015157008625957502
158,ibm_kyiv,id,14,,0.00011072359260194042
159,ibm_kyiv,id,15,,0.0009264655987565321
160,ibm_kyiv,id,16,,0.00037710867816733936
161,ibm_kyiv,id,17,,0.00040491313626045373
162,ibm_kyiv,id,18,,0.00018079494001883533
163,ibm_kyiv,id,19,,0.001182965801892983
164,ibm_kyiv,id,20,,0.0006212468894931966
165,ibm_kyiv,id,21,,0.00024746958670903796
166,ibm_kyiv,id,22,,0.00016769016451158016
167,ibm_kyiv,id,23,,0.00029526328671072567
168,ibm_kyiv,id,24,,0.0002170204874568306
169,ibm_kyiv,id,25,,0.00014211998666028867
170,ibm_kyiv,id,26,,0.0015134928179495162
171,ibm_kyiv,id,27,,0.0005129932699063026
172,ibm_kyiv,id,28,,0.0002120476193422189
173,ibm_kyiv,id,29,,0.00012782202336802213
174,ibm_kyiv,id,30,,0.001164311371220934
175,ibm_kyiv,id,31,,0.00043098849684200746
176,ibm_kyiv,id,32,,0.0001344455833099757
177,ibm_kyiv,id,33,,0.00016406128080210633
178,ibm_kyiv,id,34,,0.00031954165658679525
179,ibm_kyiv,id,35,,0.00028933304137484167
180,ibm_kyiv,id,36,,0.0001726597259943198
181,ibm_kyiv,id,37,,0.0021378338209448117
